+-----------+--------------+------------------------------------------------------------------------------+
| Name      | Type         | Endpoints                                                                    |
+-----------+--------------+------------------------------------------------------------------------------+
| s3        | s3           | RegionOne                                                                    |
|           |              |   public: http://10.13.3.212:8080                                            |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.212:8080                                          |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.212:8080                                             |
|           |              |                                                                              |
| cinderv3  | volumev3     | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.240:8776/v3/597628995a314493b9ef3eb4c4d819ef      |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.240:8776/v3/597628995a314493b9ef3eb4c4d819ef        |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.240:8776/v3/597628995a314493b9ef3eb4c4d819ef         |
|           |              |                                                                              |
| swift     | object-store | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.212:8080                                             |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.212:8080/v1/AUTH_597628995a314493b9ef3eb4c4d819ef |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.212:8080/v1/AUTH_597628995a314493b9ef3eb4c4d819ef   |
|           |              |                                                                              |
| placement | placement    | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.222:8778                                          |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.222:8778                                            |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.222:8778                                             |
|           |              |                                                                              |
| nova      | compute      | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.222:8774/v2.1                                        |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.222:8774/v2.1                                     |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.222:8774/v2.1                                       |
|           |              |                                                                              |
| neutron   | network      | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.198:9696                                             |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.198:9696                                            |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.198:9696                                          |
|           |              |                                                                              |
| cinderv2  | volumev2     | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.240:8776/v2/597628995a314493b9ef3eb4c4d819ef      |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.240:8776/v2/597628995a314493b9ef3eb4c4d819ef        |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.240:8776/v2/597628995a314493b9ef3eb4c4d819ef         |
|           |              |                                                                              |
| glance    | image        | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.195:9292                                             |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.195:9292                                            |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.195:9292                                          |
|           |              |                                                                              |
| keystone  | identity     | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.206:5000/v3                                       |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.206:5000/v3                                         |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.206:35357/v3                                         |
|           |              |                                                                              |
+-----------+--------------+------------------------------------------------------------------------------+
