jenkins@mosci-s390x-jslave-persist-718:~/tools/zopenstack/tools/2-configure$ openstack catalog list
+-----------+--------------+------------------------------------------+
| Name      | Type         | Endpoints                                |
+-----------+--------------+------------------------------------------+
| glance    | image        | RegionOne                                |
|           |              |   public: http://10.13.3.204:9292        |
|           |              | RegionOne                                |
|           |              |   admin: http://10.13.3.204:9292         |
|           |              | RegionOne                                |
|           |              |   internal: http://10.13.3.204:9292      |
|           |              |                                          |
| placement | placement    | RegionOne                                |
|           |              |   public: http://10.13.3.210:8778        |
|           |              | RegionOne                                |
|           |              |   admin: http://10.13.3.210:8778         |
|           |              | RegionOne                                |
|           |              |   internal: http://10.13.3.210:8778      |
|           |              |                                          |
| cinderv3  | volumev3     |                                          |
| neutron   | network      | RegionOne                                |
|           |              |   public: http://10.13.3.244:9696        |
|           |              | RegionOne                                |
|           |              |   internal: http://10.13.3.244:9696      |
|           |              | RegionOne                                |
|           |              |   admin: http://10.13.3.244:9696         |
|           |              |                                          |
| swift     | object-store | RegionOne                                |
|           |              |   admin: http://10.13.3.194:8080         |
|           |              |                                          |
| s3        | s3           | RegionOne                                |
|           |              |   internal: http://10.13.3.194:8080      |
|           |              | RegionOne                                |
|           |              |   admin: http://10.13.3.194:8080         |
|           |              | RegionOne                                |
|           |              |   public: http://10.13.3.194:8080        |
|           |              |                                          |
| keystone  | identity     | RegionOne                                |
|           |              |   public: http://10.13.3.235:5000/v3     |
|           |              | RegionOne                                |
|           |              |   internal: http://10.13.3.235:5000/v3   |
|           |              | RegionOne                                |
|           |              |   admin: http://10.13.3.235:35357/v3     |
|           |              |                                          |
| cinderv2  | volumev2     |                                          |
| nova      | compute      | RegionOne                                |
|           |              |   public: http://10.13.3.233:8774/v2.1   |
|           |              | RegionOne                                |
|           |              |   internal: http://10.13.3.233:8774/v2.1 |
|           |              | RegionOne                                |
|           |              |   admin: http://10.13.3.233:8774/v2.1    |
|           |              |                                          |
+-----------+--------------+------------------------------------------+

