+ openstack catalog list
+-----------+--------------+------------------------------------------------------------------------------+
| Name      | Type         | Endpoints                                                                    |
+-----------+--------------+------------------------------------------------------------------------------+
| swift     | object-store | RegionOne                                                                    |
|           |              |   public: http://10.13.3.207:8080/v1/AUTH_8daa132b57c347dcaeddd2dd35e96666   |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.207:8080/v1/AUTH_8daa132b57c347dcaeddd2dd35e96666 |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.207:8080                                             |
|           |              |                                                                              |
| neutron   | network      | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.247:9696                                             |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.247:9696                                          |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.247:9696                                            |
|           |              |                                                                              |
| cinderv3  | volumev3     | RegionOne                                                                    |
|           |              |   public: http://10.13.3.206:8776/v3/8daa132b57c347dcaeddd2dd35e96666        |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.206:8776/v3/8daa132b57c347dcaeddd2dd35e96666      |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.206:8776/v3/8daa132b57c347dcaeddd2dd35e96666         |
|           |              |                                                                              |
| placement | placement    | RegionOne                                                                    |
|           |              |   public: http://10.13.3.250:8778                                            |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.250:8778                                          |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.250:8778                                             |
|           |              |                                                                              |
| s3        | s3           | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.207:8080                                          |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.207:8080                                             |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.207:8080                                            |
|           |              |                                                                              |
| keystone  | identity     | RegionOne                                                                    |
|           |              |   public: http://10.13.3.200:5000/v3                                         |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.200:5000/v3                                       |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.200:35357/v3                                         |
|           |              |                                                                              |
| cinderv2  | volumev2     | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.206:8776/v2/8daa132b57c347dcaeddd2dd35e96666      |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.206:8776/v2/8daa132b57c347dcaeddd2dd35e96666         |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.206:8776/v2/8daa132b57c347dcaeddd2dd35e96666        |
|           |              |                                                                              |
| nova      | compute      | RegionOne                                                                    |
|           |              |   public: http://10.13.3.215:8774/v2.1                                       |
|           |              | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.215:8774/v2.1                                     |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.215:8774/v2.1                                        |
|           |              |                                                                              |
| glance    | image        | RegionOne                                                                    |
|           |              |   internal: http://10.13.3.237:9292                                          |
|           |              | RegionOne                                                                    |
|           |              |   admin: http://10.13.3.237:9292                                             |
|           |              | RegionOne                                                                    |
|           |              |   public: http://10.13.3.237:9292                                            |
|           |              |                                                                              |
+-----------+--------------+------------------------------------------------------------------------------+
